"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T4G Nano","t4g.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0050 hourly","$0.0032 hourly","unavailable","unavailable","unavailable"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0063 hourly","$0.0040 hourly","unavailable","$0.0109 hourly","$0.0086 hourly"
"T4G Micro","t4g.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0100 hourly","$0.0063 hourly","unavailable","unavailable","unavailable"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0125 hourly","$0.0079 hourly","unavailable","$0.0217 hourly","$0.0171 hourly"
"T4G Small","t4g.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0201 hourly","$0.0127 hourly","unavailable","unavailable","unavailable"
"T3 Small","t3.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0251 hourly","$0.0158 hourly","unavailable","$0.0435 hourly","$0.0342 hourly"
"T4G Medium","t4g.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0402 hourly","$0.0253 hourly","unavailable","unavailable","unavailable"
"C6G Medium","c6g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0425 hourly","$0.0268 hourly","unavailable","unavailable","unavailable"
"M6G Medium","m6g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0470 hourly","$0.0299 hourly","unavailable","unavailable","unavailable"
"T3 Medium","t3.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0502 hourly","$0.0316 hourly","unavailable","$0.0686 hourly","$0.0500 hourly"
"C6GN Medium","c6gn.medium","2.0 GiB","1 vCPUs","EBS only","Up to 16 Gigabit","$0.0536 hourly","$0.0338 hourly","unavailable","unavailable","unavailable"
"M6GD Medium","m6gd.medium","4.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0554 hourly","$0.0349 hourly","unavailable","unavailable","unavailable"
"M7G Medium","m7g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0561 hourly","$0.0371 hourly","unavailable","unavailable","unavailable"
